 all D ~ (p/mc)^2/t (sec^-1)
 E(MeV)=  0.1000
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.3485E-04  0.1682E-05  0.9145E-07
   6.00  0.3518E-04  0.2035E-05  0.1326E-06
   7.00  0.3553E-04  0.2393E-05  0.1819E-06
   8.00  0.3589E-04  0.2758E-05  0.2393E-06
   9.00  0.3627E-04  0.3128E-05  0.3050E-06
  10.00  0.3666E-04  0.3505E-05  0.3792E-06
  11.00  0.3708E-04  0.3888E-05  0.4620E-06
  12.00  0.3751E-04  0.4277E-05  0.5538E-06
  13.00  0.3796E-04  0.4675E-05  0.6545E-06
  14.00  0.3842E-04  0.5076E-05  0.7643E-06
  15.00  0.3892E-04  0.5485E-05  0.8834E-06
  16.00  0.3943E-04  0.5904E-05  0.1014E-05
  17.00  0.3996E-04  0.6322E-05  0.1161E-05
  18.00  0.4051E-04  0.6749E-05  0.1326E-05
  19.00  0.4109E-04  0.7180E-05  0.1503E-05
  20.00  0.4168E-04  0.7624E-05  0.1677E-05
  21.00  0.4230E-04  0.8074E-05  0.1849E-05
  22.00  0.4295E-04  0.8537E-05  0.2027E-05
  23.00  0.4362E-04  0.9012E-05  0.2214E-05
  24.00  0.4430E-04  0.9486E-05  0.2412E-05
  25.00  0.4503E-04  0.9972E-05  0.2621E-05
  26.00  0.4578E-04  0.1046E-04  0.2841E-05
  27.00  0.4654E-04  0.1096E-04  0.3071E-05
  28.00  0.4736E-04  0.1147E-04  0.3311E-05
  29.00  0.4818E-04  0.1198E-04  0.3560E-05
  30.00  0.4904E-04  0.1250E-04  0.3819E-05
  31.00  0.4993E-04  0.1302E-04  0.4088E-05
  32.00  0.5085E-04  0.1354E-04  0.4366E-05
  33.00  0.5179E-04  0.1408E-04  0.4652E-05
  34.00  0.5277E-04  0.1461E-04  0.4946E-05
  35.00  0.5377E-04  0.1514E-04  0.5247E-05
  36.00  0.5479E-04  0.1568E-04  0.5553E-05
  37.00  0.5583E-04  0.1622E-04  0.5866E-05
  38.00  0.5690E-04  0.1675E-04  0.6182E-05
  39.00  0.5798E-04  0.1728E-04  0.6503E-05
  40.00  0.5905E-04  0.1780E-04  0.6819E-05
